LoanCurrentDaysDelinquent,LP_CustomerPrincipalPayments,LP_GrossPrincipalLoss,LP_CustomerPayments,LP_InterestandFees,LP_ServiceFees,MonthlyLoanPayment,AvailableBankcardCredit,RevolvingCreditBalance
162,1884.25,5615.75,3625.68,1741.43,-67.0,302.14,21221.0,29612.0
0,3200.0,0.0,3445.68,245.68,-11.19,122.19,377.0,1076.0
0,10000.0,0.0,10540.02,540.02,-24.16,278.18,3198.0,902.0
0,2100.01,0.0,2618.88,518.87,-19.96,84.61,103.0,597.0
0,7500.0,0.0,11743.59,4243.59,-128.02,326.62,11929.0,11827.0
0,2100.0,0.0,2656.97,556.97,-16.42,67.45,1.0,833.0
0,4000.0,0.0,4231.16,231.16,-16.12,359.79,4032.0,5468.0
0,24999.64,0.0,25530.79,531.15,-47.04,821.91,26435.0,54466.0
0,13000.0,0.0,14762.55,1762.55,-93.9,312.76,9508.0,5992.0
0,15000.0,0.0,19702.98,4702.98,-188.17,596.32,33557.0,15451.0
83,4603.65,0.0,9045.92,4442.27,-286.41,565.37,15081.0,34055.0
0,7000.0,0.0,9375.84,2375.84,-74.25,304.84,180.0,10920.0
0,3500.0,0.0,5050.19,1550.19,-52.54,147.62,0.0,0.0
202,246.39,3753.61,1081.36,834.97,-25.84,135.17,5792.0,49325.0
0,2500.0,0.0,2506.81,6.81,-0.96,77.31,58124.0,876.0
0,20500.0,0.0,21805.73,1305.73,-134.06,658.98,12519.0,10501.0
0,3500.0,0.0,4237.75,737.75,-34.48,121.16,1121.0,3079.0
80,743.23,0.0,1325.28,582.05,-49.8,441.76,69107.0,106393.0
1147,666.39,4333.61,1433.6,767.21,-28.15,204.8,4917.0,6813.0
0,2500.0,0.0,2513.95,13.95,-0.48,104.89,41119.0,57758.0
0,4000.0,0.0,5477.36,1477.36,-47.3,172.56,879.0,4439.0
0,15000.0,0.0,16030.16,1030.16,-58.27,539.88,12140.0,13245.0
38,281.02,0.0,1904.0301,1623.0101,-24.96,275.0,18294.0,16962.0
0,2500.0,0.0,3337.38,837.38,-42.07,92.78,1723.0,11772.0
0,10000.0,0.0,10048.24,48.24,-5.55,206.08,27389.0,12011.0
74,4565.37,0.0,8348.64,3783.27,-273.17,521.79,12594.0,9306.0
0,7000.0,0.0,11014.81,4014.81,-132.62,227.64,0.0,717.0
0,24999.99,0.0,28365.7673,3365.7773,-164.16,670.58,5637.0,40096.0
0,16000.0,0.0,22403.74,6403.74,-271.86,618.94,25360.0,2240.0
0,2500.0,0.0,2742.21,242.21,-8.98,102.05,10173.0,10077.0
0,1000.0,0.0,1040.2,40.2,-5.64,30.94,20294.0,19406.0
364,0.0,15000.0,0.0,0.0,0.0,566.98,11967.0,44253.0
0,15000.0,0.0,18364.47,3364.47,-246.48,0.0,44460.0,12941.0
0,3999.99,0.0,6517.97,2517.98,-71.94,176.81,1284.0,4314.0
159,523.89,9476.11,690.0458,166.1558,-11.29,347.09,16435.0,6402.0
0,13999.99,0.0,15599.09,1599.1,-200.13,438.64,27524.0,22387.0
0,4499.99,0.0,6204.98,1704.99,-71.92,175.86,1391.0,27609.0
0,6000.0,0.0,6757.84,757.84,-84.29,190.77,13627.0,7508.0
0,2008.81,0.0,2141.36,132.55,-10.17,178.67,3526.0,2539.0
0,999.99,0.0,1618.65,618.66,-16.93,45.24,800.0,0.0
0,4000.0,0.0,4671.78,671.78,-33.78,148.45,8352.0,5358.0
13,2466.3,0.0,3749.54,1283.24,-74.0,358.22,11288.0,6861.0
0,6000.0,0.0,6862.97,862.97,-91.8,191.92,28266.0,5105.0
0,3500.0,0.0,3670.4644,170.4644,-13.23,117.91,335.0,3165.0
0,4000.0,0.0,4474.07,474.07,-15.43,171.41,464.0,2236.0
0,10000.0,0.0,10386.21,386.21,-39.64,321.45,21873.0,1093.0
0,10170.24,0.0,12645.86,2475.62,-166.14,241.42,4098.0,2.0
0,1500.0,0.0,1787.14,287.14,-14.35,55.75,110.0,5890.0
0,1500.0,0.0,1646.56,146.56,-4.19,67.85,15.0,985.0
192,1202.51,8797.49,1963.61,761.1,-70.73,216.23,6529.0,10094.0
0,2500.0,0.0,3797.31,1297.31,-44.0,105.45,15808.0,8712.0
414,1461.9,3538.1,2008.32,546.42,-43.58,167.36,26695.0,5605.0
807,211.87,2938.78,656.05,444.18,-3.65,137.21,100131.0,3693.0
342,2445.39,12554.61,3897.6,1452.21,-30.97,582.52,9034.0,64876.0
0,9500.0,0.0,10473.75,973.75,-33.92,299.82,19091.0,88909.0
0,2000.0,0.0,2113.57,113.57,-4.21,81.64,986.0,10514.0
0,2999.15,0.0,3322.98,323.83,-35.2,95.68,3286.0,714.0
0,7000.0,0.0,9078.46,2078.46,-99.69,188.78,22442.0,30968.0
0,2000.0,0.0,2380.53,380.53,-15.52,79.01,1945.0,2453.0
0,999.99,0.0,1325.13,325.14,-16.33,37.11,10067.0,10849.0
0,10000.0,0.0,10621.41,621.41,-53.16,220.88,53808.0,64164.0
0,15000.0,0.0,16272.95,1272.95,-50.91,596.4,9850.0,1366.0
0,10000.0,0.0,11667.52,1667.52,-149.56,328.1,21638.0,111189.0
0,1000.0,0.0,1096.64,96.64,-13.62,30.92,15000.0,5308.0
0,12000.0,0.0,14985.15,2985.15,-110.6,489.84,3302.0,7659.0
0,6000.0,0.0,6243.72,243.72,-29.05,189.1,16411.0,1372.0
0,12500.0,0.0,13331.87,831.87,-65.5,419.37,14782.0,4918.0
0,2999.99,0.0,3299.65,299.66,-10.82,123.61,853.0,504.0
797,99.16,5900.84,259.63,160.47,-4.93,259.63,9193.0,15807.0
6,2579.69,0.0,4253.51,1673.82,-100.5,530.25,2739.0,31253.0
0,2000.0,0.0,2321.38,321.38,-19.8,70.52,235.0,579.0
870,166.82,2033.18,172.6,5.78,-0.24,86.3,1587.0,4944.0
342,1003.36,2996.64,2243.23,1239.87,-32.88,173.71,25247.0,45983.0
0,7500.0,0.0,8590.33,1090.33,-37.6,314.25,125.0,20175.0
0,7900.0,0.0,8025.21,125.21,-14.46,249.53,41323.0,3677.0
0,5000.0,0.0,5134.97,134.97,-27.06,428.01,22900.0,800.0
29,1429.7,0.0,2953.07,1523.37,-47.97,173.71,4840.0,1010.0
0,7499.99,0.0,9350.17,1850.18,-124.18,240.77,9353.0,3011.0
121,184.3,5219.97,470.7,286.4,-52.28,235.35,27431.0,519.0
0,3000.0,0.0,4299.01,1299.01,-49.98,120.86,338.0,4890.0
0,4500.0,0.0,5136.44,636.44,-25.48,423.4,316.0,184.0
0,9999.98,0.0,11674.32,1674.34,-161.77,324.32,39942.0,23958.0
0,4000.0,0.0,5807.27,1807.27,-56.9,173.71,9156.0,7482.0
0,15000.0,0.0,16863.03,1863.03,-81.46,579.63,374.0,7866.0
0,4000.0,0.0,5188.25,1188.25,-37.4,173.71,3241.0,8064.0
0,4000.0,0.0,4830.07,830.07,-26.13,173.71,647.0,13803.0
0,4000.0,0.0,5049.21,1049.21,-33.02,173.71,913.0,3341.0
0,2000.0,0.0,2246.21,246.21,-10.91,187.71,60.0,140.0
0,2000.0,0.0,2073.51,73.51,-2.35,86.38,2.0,1691.0
0,25000.0,0.0,28807.71,3807.71,-402.92,800.24,63990.0,35772.0
0,8500.0,0.0,9238.604,738.604,-40.84,216.72,162.0,3375.0
0,6500.0,0.0,7961.48,1461.48,-53.17,267.11,1119.0,4376.0
0,2500.0,0.0,2645.72,145.72,-10.78,84.84,254.0,19366.0
0,1043.69,0.0,1246.46,202.77,-6.26,43.67,855.0,845.0
0,17500.0,0.0,20083.51,2583.51,-136.18,453.67,11536.0,31862.0
0,4981.27,0.0,5287.27,306.0,-27.6,440.46,9011.0,5991.0
0,2000.0,0.0,2576.16,576.16,-18.13,86.85,684.0,4816.0
6,1724.42,0.0,3474.2,1749.78,-55.08,173.71,934.0,3808.0
0,3000.0,0.0,3577.01,577.01,-42.0,102.15,46732.0,117168.0
0,2500.0,0.0,2568.19,68.19,-10.42,76.68,18511.0,489.0
0,3000.0,0.0,3035.96,35.96,-1.15,129.42,9611.0,10643.0
0,999.99,0.0,1060.1,60.11,-8.59,30.88,60144.0,3256.0
0,9000.0,0.0,11086.23,2086.23,-85.19,355.42,736.0,764.0
0,5000.02,0.0,5841.17,841.15,-80.89,162.28,26841.0,30759.0
319,278.83,1721.17,757.8,478.97,-14.7,77.28,8400.0,1415.0
163,1149.35,10350.65,3850.66,2701.31,-100.65,350.06,3627.0,4073.0
0,3499.99,0.0,4948.6,1448.61,-60.39,131.5,528.0,2472.0
654,1523.84,8476.16,3220.6,1696.76,-62.86,408.2,21124.0,128068.0
0,7500.0,0.0,7647.57,147.57,-17.6,236.03,54894.0,106.0
565,69.26,3930.74,173.71,104.45,-3.29,173.71,20965.0,435.0
20,3503.64,0.0,5206.4,1702.76,-112.85,520.64,10858.0,6972.0
0,8000.0,0.0,8202.95,202.95,-7.86,238.53,6345.0,5350.0
40,9205.4,0.0,11597.27,2391.87,-196.73,427.39,9421.0,37238.0
0,2500.0,0.0,2764.6,264.6,-37.28,77.31,12926.0,574.0
1135,1657.37,2842.63,2293.2,635.83,-46.83,152.88,17267.0,66172.0
3,1773.74,0.0,2669.64,895.9,-42.74,111.86,0.0,0.0
0,2000.0,0.0,2066.62,66.62,-10.95,0.0,35305.0,2695.0
0,5000.0,0.0,6252.67,1252.67,-69.64,180.74,189.0,311.0
0,15000.0,0.0,17049.44,2049.44,-137.53,519.25,18927.0,63956.0
19,1274.34,0.0,2734.36,1460.02,-45.96,173.71,64.0,2272.0
0,15000.0,0.0,15255.04,255.04,-10.33,437.46,40168.0,13102.0
0,2500.0,0.0,3528.47,1028.47,-38.07,102.05,1149.0,1803.0
0,4000.0,0.0,4532.23,532.23,-16.76,173.71,2337.0,5463.0
349,2929.09,4570.91,4153.92,1224.83,-82.2,259.62,17351.0,191946.0
0,11999.99,0.0,13347.2,1347.21,-56.19,345.08,640.0,5461.0
102,4252.44,0.0,8161.87,3909.43,-131.26,326.56,3750.0,0.0
0,7500.0,0.0,9666.12,2166.12,-98.48,286.39,495.0,3005.0
0,4000.0,0.0,4510.63,510.63,-15.97,174.2,794.0,3106.0
6,1578.49,0.0,3476.94,1898.45,-57.42,173.71,334.0,1666.0
0,2000.0,0.0,2135.47,135.47,-6.38,54.38,16611.0,9202.0
0,4000.0,0.0,4442.75,442.75,-13.94,173.71,1949.0,79235.0
0,2499.99,0.0,2959.44,459.45,-25.97,89.98,492.0,2821.0
0,7500.0,0.0,8994.31,1494.31,-84.52,269.94,6278.0,15749.0
0,1600.0,0.0,2589.5,989.5,-29.51,0.0,436.0,802.0
0,4000.0,0.0,4297.99,297.99,-2.04,131.81,2362.0,3688.0
490,510.06,3489.94,1215.97,705.91,-22.22,173.71,3375.0,12772.0
14,2529.78,0.0,4535.84,2006.06,-94.45,566.98,11986.0,6854.0
0,8000.0,0.0,8155.44,155.44,-10.44,276.93,15226.0,1734.0
12,191.7,0.0,879.1436,687.4436,-8.89,126.04,16500.0,0.0
0,9500.0,0.0,9891.07,391.07,-12.76,406.68,7359.0,15691.0
556,0.0,25000.0,126.0,126.0,0.0,724.0,95.0,8223.0
0,2000.01,0.0,2456.85,456.84,-32.97,66.92,1200.0,0.0
0,1499.98,0.0,2538.78,1038.8,-22.24,66.97,1751.0,9977.0
0,6000.0,0.0,6596.48,596.48,-59.7,193.57,38312.0,40499.0
197,616.22,4383.78,1168.5,552.28,-23.54,194.75,4163.0,8737.0
0,4000.0,0.0,5828.37,1828.37,-69.66,161.7,1000.0,0.0
0,2853.99,0.0,2999.86,145.87,-15.64,249.97,60294.0,65736.0
0,15000.0,0.0,15044.33,44.33,-4.93,476.93,27225.0,7375.0
0,2000.0,0.0,2629.65,629.65,-21.34,84.36,1145.0,2355.0
0,4000.0,0.0,4232.39,232.39,-7.83,169.13,35727.0,31423.0
0,12500.0,0.0,12857.43,357.43,-34.04,406.28,11983.0,2667.0
0,6500.0,0.0,7045.2,545.2,-64.97,204.86,15837.0,3268.0
0,13000.0,0.0,13946.06,946.06,-114.67,408.87,50634.0,42816.0
365,373.08,3626.92,831.5,458.42,-16.16,166.3,1438.0,1748.0
1241,60.76,939.24,146.68,85.92,-2.12,40.42,136.0,1677.0
0,1200.0,0.0,1316.65,116.65,-12.67,38.27,1752.0,626.0
0,7000.0,0.0,7801.2,801.2,-69.62,230.87,21698.0,1802.0
642,478.73,14521.27,1153.74,675.01,-36.59,384.58,19644.0,5256.0
0,15000.0,0.0,15085.6815,85.6815,-4.52,563.97,1863.0,6480.0
0,3000.0,0.0,3219.08,219.08,-8.43,120.86,9258.0,27157.0
240,1478.96,6021.04,3163.4,1684.44,-57.1,316.34,39550.0,81688.0
0,2799.79,0.0,3227.8,428.01,-18.23,155.8,2475.0,3225.0
0,15000.0,0.0,18669.37,3669.37,-203.55,542.21,13683.0,23717.0
0,4199.99,0.0,4822.47,622.48,-67.69,133.95,38560.0,20891.0
0,5700.0,0.0,8585.01,2885.01,-84.98,254.47,2842.0,2465.0
0,3999.99,0.0,4253.9,253.91,-8.13,172.6,420.0,255347.0
0,15000.0,0.0,15658.23,658.23,-29.93,572.78,6712.0,14749.0
0,7700.0,0.0,9716.99,2016.99,-66.14,251.44,3433.0,5167.0
0,3400.0,0.0,3533.3605,133.3605,-7.67,122.24,4666.0,9617.0
10,5021.8,0.0,14242.74,9220.94,-247.89,457.94,7674.0,15848.0
0,2000.0,0.0,3091.14,1091.14,-35.2,86.0,208.0,442.0
0,10000.0,0.0,12380.81,2380.81,-132.35,361.47,10225.0,12775.0
0,4000.0,0.0,5019.93,1019.93,-32.1,173.71,526.0,2799.0
0,5999.99,0.0,6800.3,800.31,-86.99,191.36,15222.0,31742.0
0,11300.0,0.0,12870.33,1570.33,-69.88,288.79,4057.0,5548.0
740,197.74,2302.26,392.28,194.54,-8.11,98.07,11.0,6325.0
0,2000.0,0.0,2450.37,450.37,-13.3,89.23,1407.0,13.0
0,3000.01,0.0,3217.17,217.16,-16.65,266.96,0.0,0.0
175,1541.2,2458.8,3126.78,1585.58,-49.92,173.71,6578.0,44354.0
0,7500.0,0.0,8250.57,750.57,-24.42,321.39,535.0,51454.0
558,171.25,1828.75,299.49,128.24,-2.12,74.83,5884.0,2116.0
900,629.43,1170.57,1521.98,892.55,-24.48,81.42,0.0,907.0
0,13000.0,0.0,16312.99,3312.99,-132.63,381.41,46105.0,67271.0
0,8500.0,0.0,9837.15,1337.15,-91.02,293.37,1891.0,109.0
0,1500.0,0.0,2357.98,857.98,-26.03,66.16,79.0,371.0
238,1093.28,5906.72,2189.33,1096.05,-70.68,168.41,50572.0,84078.0
456,2156.36,4843.64,4241.1,2084.74,-77.24,285.74,7737.0,17593.0
590,310.73,5689.27,1287.41,976.68,-14.87,259.63,6875.0,100160.0
0,7000.0,0.0,7498.34,498.34,-33.03,242.97,37596.0,8504.0
0,2000.0,0.0,2414.98,414.98,-9.79,86.85,7347.0,3853.0
0,11499.99,0.0,13230.58,1730.59,-185.09,367.57,30711.0,11366.0
0,10000.0,0.0,11224.35,1224.35,-148.41,314.52,31615.0,8216.0
0,6500.0,0.0,6897.9,397.9,-20.52,170.01,9900.0,3415.0
174,354.99,2645.01,725.16,370.17,-14.25,120.86,15051.0,32778.0
166,2274.8,10725.2,5609.6,3334.8,-159.95,350.6,6085.0,1817.0
117,160.09,0.0,623.8,463.71,-16.51,124.76,8667.0,2587.0
0,9000.0,0.0,9067.03,67.03,-7.2,287.46,52557.0,266.0
0,1965.85,0.0,3175.26,1209.41,-24.18,90.47,644.0,15158.0
0,2500.0,0.0,4022.49,1522.49,-43.47,113.09,806.0,18324.0
172,1538.8,2461.2,3240.49,1701.69,-46.22,173.71,406.0,1076.0
0,3000.0,0.0,3477.79,477.79,-20.37,116.85,201.0,799.0
120,2218.49,0.0,3397.68,1179.19,-70.24,284.39,48499.0,4074.0
0,4000.0,0.0,5888.01,1888.01,-60.95,171.98,157.0,6546.0
0,7000.0,0.0,7506.0,506.0,-23.0,267.3,3993.0,944.0
0,5000.0,0.0,6774.06,1774.06,-68.26,201.43,98.0,4437.0
0,4000.0,0.0,6520.6,2520.6,-72.01,180.94,479.0,271.0
0,12880.0,0.0,14284.83,1404.83,-99.35,441.08,212.0,10626.0
0,8999.99,0.0,9469.2,469.21,-20.0,350.55,2477.0,10739.0
0,4000.0,0.0,4445.12,445.12,-31.47,136.98,181.0,1569.0
0,10000.0,0.0,10858.29,858.29,-55.78,345.92,4474.0,79007.0
